2014-04-26 18:52:22    remove .sass-cache/ 
2014-04-26 18:52:22 directory css/ 
2014-04-26 18:52:22    create css/ie.css 
2014-04-26 18:52:22    create css/print.css 
2014-04-26 18:52:23    create css/screen.css 
2014-04-26 18:53:25    create css/style.css 
2014-04-26 19:05:10 overwrite css/style.css 
2014-04-26 19:05:34 overwrite css/style.css 
2014-04-26 19:06:01 overwrite css/style.css 
2014-04-26 19:06:14 overwrite css/style.css 
2014-04-26 19:06:25 overwrite css/style.css 
2014-04-26 19:06:53 overwrite css/style.css 
2014-04-26 19:08:46 overwrite css/style.css 
2014-04-26 19:08:57 overwrite css/style.css 
2014-04-26 19:09:02 overwrite css/style.css 
2014-04-26 19:17:13 overwrite css/style.css 
2014-04-26 19:17:17 identical css/style.css 
2014-04-26 19:17:35 overwrite css/style.css 
2014-04-26 19:17:54 overwrite css/style.css 
2014-04-26 19:19:13 overwrite css/style.css 
2014-04-26 19:22:54     error sass/style.sass (Line 27: Undefined mixin 'opcity'.)
2014-04-26 19:22:54 overwrite css/style.css 
2014-04-26 19:23:26 overwrite css/style.css 
2014-04-26 19:24:24 overwrite css/style.css 
2014-04-26 19:24:40 overwrite css/style.css 
2014-04-26 19:27:20 overwrite css/style.css 
2014-04-26 19:27:26 overwrite css/style.css 
2014-04-26 19:30:00     error sass/style.sass (Line 43: Invalid CSS after "background-color:": expected pseudoclass or pseudoelement, was "#aaa")
2014-04-26 19:30:00 overwrite css/style.css 
2014-04-26 19:30:11 overwrite css/style.css 
2014-04-26 19:31:43 overwrite css/style.css 
2014-04-26 19:49:37 overwrite css/style.css 
2014-04-26 19:49:56 overwrite css/style.css 
2014-04-26 19:50:29 overwrite css/style.css 
2014-04-26 19:52:30 overwrite css/style.css 
2014-04-26 19:52:44 overwrite css/style.css 
2014-04-26 19:52:55 overwrite css/style.css 
2014-04-26 19:55:50 overwrite css/style.css 
2014-04-26 19:56:05 overwrite css/style.css 
2014-04-26 19:56:29 overwrite css/style.css 
2014-04-26 19:56:44 overwrite css/style.css 
2014-04-26 19:56:48 overwrite css/style.css 
2014-04-26 19:57:01 overwrite css/style.css 
2014-04-26 19:58:09 overwrite css/style.css 
2014-04-26 19:58:31 overwrite css/style.css 
2014-04-26 19:59:02 overwrite css/style.css 
2014-04-26 19:59:15 overwrite css/style.css 
2014-04-26 19:59:21 overwrite css/style.css 
2014-04-26 19:59:54 overwrite css/style.css 
2014-04-26 20:00:13 overwrite css/style.css 
2014-04-26 20:00:30 overwrite css/style.css 
2014-04-26 20:00:34 overwrite css/style.css 
2014-04-26 20:01:15 overwrite css/style.css 
2014-04-26 20:01:48 overwrite css/style.css 
2014-04-26 20:02:04 overwrite css/style.css 
2014-04-26 20:02:18 overwrite css/style.css 
2014-04-26 20:02:39 overwrite css/style.css 
2014-04-26 20:02:43 overwrite css/style.css 
2014-04-26 20:02:50 overwrite css/style.css 
2014-04-26 20:02:54 overwrite css/style.css 
2014-04-26 20:03:02 overwrite css/style.css 
2014-04-26 20:03:30 overwrite css/style.css 
2014-04-26 20:03:49 overwrite css/style.css 
2014-04-26 20:03:51 overwrite css/style.css 
2014-04-26 20:04:13 overwrite css/style.css 
2014-04-26 20:04:24 overwrite css/style.css 
2014-04-26 20:04:32 overwrite css/style.css 
2014-04-26 20:04:46 overwrite css/style.css 
2014-04-26 20:04:54 overwrite css/style.css 
2014-04-26 20:05:44 overwrite css/style.css 
2014-04-26 20:06:58 overwrite css/style.css 
2014-04-26 20:07:19     error sass/style.sass (Line 43: Undefined mixin 'clearfix'.)
2014-04-26 20:07:19 overwrite css/style.css 
2014-04-26 20:07:46 overwrite css/style.css 
2014-04-26 20:08:16 overwrite css/style.css 
2014-04-26 20:08:36 overwrite css/style.css 
2014-04-26 20:09:02 overwrite css/style.css 
2014-04-26 20:09:15 overwrite css/style.css 
2014-04-26 20:09:26 overwrite css/style.css 
2014-04-26 20:09:33 overwrite css/style.css 
2014-04-26 20:13:28 overwrite css/style.css 
2014-04-26 20:13:34 overwrite css/style.css 
2014-04-26 20:14:34 overwrite css/style.css 
2014-04-26 20:15:14 overwrite css/style.css 
2014-04-26 20:15:18 overwrite css/style.css 
2014-04-26 20:16:30 overwrite css/style.css 
2014-04-26 20:18:36 overwrite css/style.css 
2014-04-26 20:19:38 identical css/style.css 
2014-04-26 20:30:28 overwrite css/style.css 
2014-04-26 20:32:26 overwrite css/style.css 
2014-04-26 20:32:36 overwrite css/style.css 
2014-04-26 20:33:20 overwrite css/style.css 
2014-04-26 20:34:22 overwrite css/style.css 
2014-04-26 20:34:28 overwrite css/style.css 
2014-04-26 20:35:47 overwrite css/style.css 
2014-04-26 20:36:33 overwrite css/style.css 
2014-04-26 20:36:57 overwrite css/style.css 
2014-04-26 20:37:44 overwrite css/style.css 
2014-04-26 20:44:25 overwrite css/style.css 
2014-04-26 20:46:18 overwrite css/style.css 
2014-04-26 20:47:04 overwrite css/style.css 
2014-04-26 20:48:01 overwrite css/style.css 
2014-04-26 20:48:40 overwrite css/style.css 
2014-04-26 20:48:44 overwrite css/style.css 
2014-04-26 23:08:04 overwrite css/style.css 
2014-04-26 23:09:26 overwrite css/style.css 
2014-04-26 23:43:45 overwrite css/style.css 
2014-04-26 23:44:10 overwrite css/style.css 
2014-04-26 23:44:37 overwrite css/style.css 
2014-04-26 23:58:22 overwrite css/style.css 
2014-04-26 23:58:36 overwrite css/style.css 
2014-04-26 23:58:38 identical css/style.css 
2014-04-26 23:59:16 overwrite css/style.css 
2014-04-26 23:59:39 overwrite css/style.css 
2014-04-26 23:59:46 overwrite css/style.css 
2014-04-27 00:09:39 overwrite css/style.css 
2014-04-27 00:09:58 overwrite css/style.css 
2014-04-27 00:10:27 overwrite css/style.css 
2014-04-27 00:11:47 overwrite css/style.css 
2014-04-27 00:31:18 overwrite css/style.css 
2014-04-27 00:33:23     error sass/style.sass (Line 121: Illegal nesting: Only properties may be nested beneath properties.)
2014-04-27 00:33:23 overwrite css/style.css 
2014-04-27 00:33:45 overwrite css/style.css 
2014-04-27 00:34:51 overwrite css/style.css 
2014-04-27 00:35:11 identical css/style.css 
2014-04-27 00:35:32 overwrite css/style.css 
2014-04-27 00:46:49 overwrite css/style.css 
2014-04-27 00:48:53 overwrite css/style.css 
2014-04-27 00:49:10 overwrite css/style.css 
2014-04-27 15:52:12 overwrite css/style.css 
2014-04-27 15:52:50 overwrite css/style.css 
2014-04-27 15:53:39 overwrite css/style.css 
2014-04-27 15:54:05 overwrite css/style.css 
2014-04-27 15:54:12 overwrite css/style.css 
2014-04-27 15:54:32 overwrite css/style.css 
2014-04-27 15:54:56 overwrite css/style.css 
2014-04-27 15:56:14 overwrite css/style.css 
2014-04-27 15:56:15 identical css/style.css 
2014-04-27 15:56:26 overwrite css/style.css 
2014-04-27 15:56:52 overwrite css/style.css 
2014-04-27 16:00:33 overwrite css/style.css 
2014-04-27 16:00:40 overwrite css/style.css 
2014-04-27 16:12:29 overwrite css/style.css 
2014-04-27 16:12:44 overwrite css/style.css 
2014-04-27 16:12:50 overwrite css/style.css 
2014-04-27 16:13:01 overwrite css/style.css 
2014-04-27 16:13:15 overwrite css/style.css 
2014-04-27 16:13:36 overwrite css/style.css 
